employee_id,branch_id,department,role,hire_date,base_salary
437,9,IT,Senior Manager,2015-04-27,3319.52
438,9,Operations,Associate,2018-06-13,2170.09
439,10,Finance,Supervisor,2017-01-13,3312.91
440,10,HR,Senior Manager,2018-02-15,791.39
441,10,Marketing,Specialist,2016-01-02,3231.75
442,10,Operations,Specialist,2018-07-12,2749.06
443,10,IT,Associate,2024-10-09,3523.39
444,10,Sales,Associate,2016-04-21,1935.49
445,10,Operations,Associate,2020-02-02,3606.64
446,10,Sales,Specialist,2024-07-27,2876.84
447,10,Support,Associate,2021-11-14,1028.9
448,10,Operations,Specialist,2019-05-15,3409.47
449,10,Sales,Senior Manager,2024-10-08,2618.38
450,10,Support,Manager,2023-08-02,743.87
451,10,Support,Specialist,2021-04-21,3413.59
452,10,HR,Specialist,2025-09-26,515.43
453,10,Support,Supervisor,2022-09-26,2073.68
454,10,HR,Senior Manager,2020-07-09,1052.38
455,10,Finance,Senior Manager,2018-01-26,3058.1
456,10,Sales,Manager,2023-06-25,2406.36
457,10,Operations,Specialist,2016-04-22,1257.86
458,10,HR,Associate,2018-10-28,3741.93
459,10,Support,Supervisor,2017-03-08,2434.94
460,10,Marketing,Supervisor,2024-01-23,2796.88
461,10,HR,Senior Manager,2017-10-07,3252.93
462,10,Marketing,Manager,2023-05-06,2092.96
463,10,Sales,Associate,2018-10-08,516.76
464,10,Support,Associate,2020-10-07,3151.59
465,10,Finance,Specialist,2020-01-01,944.84
466,10,IT,Specialist,2016-09-28,1672.38
467,10,Sales,Supervisor,2025-07-19,788.46
468,10,Finance,Supervisor,2017-03-24,3628.12
469,10,Marketing,Manager,2025-06-06,2819.06
470,10,HR,Senior Manager,2020-04-22,2422.98
471,10,Operations,Manager,2019-12-23,1436.63
472,10,Operations,Associate,2024-07-28,3780.85
473,10,HR,Associate,2017-10-11,3535.48
474,10,HR,Specialist,2025-10-04,3587.9
475,10,Operations,Supervisor,2016-04-12,3740.97
476,10,Operations,Associate,2025-11-24,3420.29
477,10,Support,Associate,2019-04-08,2772.14
478,10,Finance,Supervisor,2016-12-01,611.29
479,10,Support,Manager,2017-07-16,3403.93
480,10,Finance,Senior Manager,2021-02-27,2056.29
481,10,Marketing,Senior Manager,2025-11-08,994.9
482,10,Sales,Associate,2019-01-11,1324.78
483,10,Sales,Associate,2020-03-13,989.03
484,10,Sales,Senior Manager,2016-06-20,3750.67
485,10,Support,Associate,2021-11-06,2484.51
486,10,Support,Specialist,2015-02-11,1138.59
487,10,Operations,Manager,2023-12-24,2259.42
488,10,IT,Supervisor,2019-04-04,616.28
489,10,HR,Senior Manager,2022-03-02,1658.78
490,10,Support,Associate,2019-11-21,2460.72
491,10,Operations,Associate,2015-04-06,2587.94
492,10,Sales,Manager,2016-05-26,1781.52
493,10,Support,Supervisor,2016-11-18,1748.22
494,10,Finance,Manager,2020-03-15,599.47
495,10,Support,Manager,2019-04-27,1349.68
496,10,Sales,Specialist,2025-02-03,2688.27
497,10,Marketing,Senior Manager,2021-10-08,2304.57
498,10,Marketing,Manager,2023-07-18,2751.68
499,10,Support,Senior Manager,2018-08-10,714.5
500,10,Marketing,Associate,2023-10-17,3131.51
501,10,IT,Senior Manager,2017-02-25,1954.28
502,11,Operations,Specialist,2017-01-14,712.53
503,11,IT,Manager,2018-11-05,3244.26
504,11,Finance,Supervisor,2016-02-13,2313.82
505,11,HR,Supervisor,2019-09-15,3522.49
506,11,Sales,Senior Manager,2024-09-26,1855.64
507,11,Support,Specialist,2017-10-19,2401.97
508,11,Sales,Associate,2024-02-26,1408.41
509,11,HR,Supervisor,2021-05-13,2643.54
510,11,HR,Senior Manager,2022-01-06,1372.64
511,11,Operations,Senior Manager,2024-11-23,1795.76
512,11,Support,Supervisor,2018-01-24,2041.98
513,11,Finance,Supervisor,2015-06-27,3108.73
514,11,Finance,Supervisor,2022-12-22,779.03
515,11,Marketing,Specialist,2017-05-24,1934.42
516,11,Marketing,Supervisor,2019-12-14,2476.68
517,11,Sales,Specialist,2022-04-27,1814.02
518,11,Support,Senior Manager,2020-01-17,3101.49
519,11,Sales,Supervisor,2023-07-05,3064.73
520,11,HR,Senior Manager,2015-03-07,3381.85
521,11,Operations,Associate,2018-01-15,619.37
522,11,Finance,Specialist,2019-06-27,2005.13
523,11,Support,Associate,2025-01-08,1697.76
524,11,HR,Manager,2017-08-19,2296.97
525,11,Finance,Specialist,2019-12-27,2757.65
526,11,Finance,Associate,2021-01-06,3310.3
527,11,Marketing,Specialist,2018-11-08,2720.28
528,11,Finance,Manager,2023-01-28,3064.02
529,11,Marketing,Associate,2022-03-21,1030.22
530,11,Marketing,Associate,2018-05-20,3147.04
531,11,Finance,Supervisor,2021-07-28,1618.18
532,12,Operations,Manager,2019-11-17,3211.44
533,12,Support,Senior Manager,2016-01-17,3798.09
534,12,Marketing,Supervisor,2023-11-20,2490.32
535,12,Finance,Associate,2022-02-11,3761.01
536,12,IT,Supervisor,2019-05-21,2832.16
537,12,IT,Supervisor,2018-03-17,3014.34
538,12,Sales,Senior Manager,2021-11-11,2730.53
539,12,IT,Associate,2025-08-10,1319.08
540,12,Support,Manager,2021-12-02,2403.13
541,12,HR,Specialist,2020-12-23,1194.92
542,12,HR,Manager,2025-06-17,1455.65
543,12,Operations,Senior Manager,2017-05-04,2027.12
544,12,IT,Supervisor,2023-03-22,3463.63
545,12,IT,Associate,2018-06-08,2943.1
546,12,Finance,Manager,2020-06-09,2411.66
547,12,Support,Associate,2022-01-28,2575.23
548,12,HR,Senior Manager,2016-08-07,2126.6
549,12,Marketing,Manager,2023-05-14,631.11
550,12,Marketing,Specialist,2017-04-11,1820.79
551,12,HR,Manager,2017-06-28,2847.49
552,12,Marketing,Associate,2022-06-21,3755.25
553,12,Finance,Associate,2015-08-09,1151.43
554,12,Marketing,Specialist,2024-03-16,3080.46
555,12,Marketing,Associate,2017-10-14,2572.18
556,12,Support,Manager,2022-07-01,576.38
557,12,Operations,Supervisor,2015-06-25,3241.32
558,12,Operations,Associate,2025-01-21,2907.57
559,12,Operations,Supervisor,2019-03-04,1734.89
560,12,HR,Supervisor,2017-02-27,603.16
561,12,Finance,Manager,2023-10-17,1581.75
562,12,IT,Specialist,2020-08-12,2962.89
